L1	ID	Function	EC	UNIPROT ID
Function unknown	VOG15406	Hypothetical protein		
Function unknown	VOG15407	Hypothetical protein		
Function unknown	VOG15408	Hypothetical protein		
Function unknown	VOG15409	Hypothetical protein		
Function unknown	VOG15410	Hypothetical protein		
Function unknown	VOG15411	Hypothetical protein		
Function unknown	VOG15412	Hypothetical protein		
Function unknown	VOG15413	Hypothetical protein		
Function unknown	VOG15414	Hypothetical protein		
Function unknown	VOG15415	Uncharacterized protein ORF36		VG36_ICHVA
Function unknown	VOG15416	Hypothetical protein		
Function unknown	VOG15417	Hypothetical protein		
Function unknown	VOG15418	Hypothetical protein		
Function unknown	VOG15419	Hypothetical protein		
Function unknown	VOG15420	Hypothetical protein		
Function unknown	VOG15421	Hypothetical protein		
Function unknown	VOG15422	Hypothetical protein		
Function unknown	VOG15423	Hypothetical protein		
Virus protein with function beneficial for the virus | Virus structure	VOG15424	Matrix protein		MATRX_ARAV
Function unknown	VOG15425	Hypothetical protein		
Function unknown	VOG15426	Putative truncated dUTPase		
Function unknown	VOG15427	Hypothetical protein 1		
Function unknown	VOG15428	Hypothetical protein		
Function unknown	VOG15429	SPbeta prophage-derived uncharacterized protein YomR		YOMR_BACSU
Function unknown	VOG15430	Hypothetical protein		
Function unknown	VOG15431	BcepNY3gp57		
Function unknown	VOG15432	Hypothetical protein		
Function unknown	VOG15433	Hypothetical protein		
Function unknown	VOG15434	Hypothetical protein		
Function unknown	VOG15435	Hypothetical protein		
Function unknown	VOG15436	Hypothetical protein		
Function unknown	VOG15437	Hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG15438	Putative RNA-directed RNA polymerase		RDRP_BYDVP
Function unknown	VOG15439	Hypothetical protein		
Function unknown	VOG15440	Hypothetical protein		
Function unknown	VOG15441	Hypothetical protein		
Function unknown	VOG15442	Hypothetical protein		
Function unknown	VOG15443	Hypothetical protein		
Function unknown	VOG15444	Hypothetical protein		
Function unknown	VOG15445	Hemolysin-like protein		
Function unknown	VOG15446	Hypothetical protein		
Function unknown	VOG15447	Uncharacterized protein R379		YR379_MIMIV
Function unknown	VOG15448	Hypothetical protein		
Function unknown	VOG15449	Hypothetical protein		
Function unknown	VOG15450	Hypothetical protein		
Function unknown	VOG15451	TMhelix containing protein		
Function unknown	VOG15452	Hypothetical protein		
Function unknown	VOG15453	Hypothetical protein		
Function unknown	VOG15454	Hypothetical protein		
Function unknown	VOG15455	Hypothetical protein		
Function unknown	VOG15456	Hypothetical protein		
Function unknown	VOG15457	Hypothetical protein		
Function unknown	VOG15458	Hypothetical protein		
Function unknown	VOG15459	Hypothetical protein		
Function unknown	VOG15460	Hypothetical protein		
Function unknown	VOG15461	Hypothetical protein		
Function unknown	VOG15462	Hypothetical protein		
Function unknown	VOG15463	Hypothetical protein		
Function unknown	VOG15464	Hypothetical protein		
Function unknown	VOG15465	Hypothetical protein		
Function unknown	VOG15466	Hypothetical protein		
Function unknown	VOG15467	Hypothetical protein		
Function unknown	VOG15468	Hypothetical protein		
Function unknown	VOG15469	Hypothetical protein		
Function unknown	VOG15470	Hypothetical protein		
Function unknown	VOG15471	ORF12		
Function unknown	VOG15472	RNA-dependent RNA polymerase		
Function unknown	VOG15473	Hypothetical protein		
Function unknown	VOG15474	Hypothetical protein		
Function unknown	VOG15475	Hypothetical protein		
Function unknown	VOG15476	Hypothetical protein		
Function unknown	VOG15477	Hypothetical protein		
Function unknown	VOG15478	Hypothetical protein		
Function unknown	VOG15479	Hypothetical protein		
Function unknown	VOG15480	Uncharacterized protein 33		Y033_SIFVH
Function unknown	VOG15481	Hypothetical protein		
Function unknown	VOG15482	Hypothetical protein		
Function unknown	VOG15483	Hypothetical protein		
Function unknown	VOG15484	Hypothetical protein		
Function unknown	VOG15485	Hypothetical protein		
Function unknown	VOG15486	Hypothetical protein		
Function unknown	VOG15487	Hypothetical protein		
Function unknown	VOG15488	Hypothetical protein		
Function unknown	VOG15489	Hypothetical protein		
Function unknown	VOG15490	Hypothetical protein		
Function unknown	VOG15491	Hypothetical protein		
Function unknown	VOG15492	Hypothetical protein		
Function unknown	VOG15493	Hypothetical protein		
Virus structure	VOG15494	Major capsid protein VP4		CAPS1_SUFV1
Virus protein with function beneficial for the host	VOG15495	3-methyl-2-oxobutanoate hydroxymethyltransferase		PANB_ALKMQ
Function unknown	VOG15496	Uncharacterized protein R588		YR588_MIMIV
Function unknown	VOG15497	Unknown similar to AMEV045		
Function unknown	VOG15498	Hypothetical protein		
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG15499	Maturation protein A		MATA_BPMS2
Function unknown	VOG15500	Portal protein		
Function unknown	VOG15501	Hypothetical protein		
Function unknown	VOG15502	Hypothetical protein		
Function unknown	VOG15503	V3		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication	VOG15504	Replicase polyprotein 1a		R1A_BCHK3
Function unknown	VOG15505	Hypothetical protein		
Function unknown	VOG15506	Hypothetical protein		
Function unknown	VOG15507	Hypothetical protein		
Function unknown	VOG15508	Hypothetical protein		
Function unknown	VOG15509	Hypothetical protein		
Function unknown	VOG15510	Hypothetical protein		
Function unknown	VOG15511	Hypothetical protein		
Function unknown	VOG15512	Hypothetical protein		
Function unknown	VOG15513	Hypothetical protein		
Function unknown	VOG15514	Hypothetical protein		
Function unknown	VOG15515	Hypothetical protein		
Function unknown	VOG15516	Hypothetical protein		
Function unknown	VOG15517	Hypothetical protein		
Function unknown	VOG15518	Hypothetical protein		
Function unknown	VOG15519	Hypothetical protein		
Function unknown	VOG15520	Membrane protein		
Function unknown	VOG15521	Hypothetical protein		
Function unknown	VOG15522	Hypothetical protein		
Function unknown	VOG15523	YjgF/Yer057c/UK114 family protein		
Function unknown	VOG15524	Hypothetical protein		
Function unknown	VOG15525	Hypothetical protein		
Function unknown	VOG15526	Hypothetical protein		
Function unknown	VOG15527	Hypothetical protein		
Function unknown	VOG15528	Hypothetical protein		
Function unknown	VOG15529	Hypothetical protein		
Function unknown	VOG15530	Hypothetical protein		
Function unknown	VOG15531	Hypothetical protein		
Function unknown	VOG15532	Hypothetical protein		
Function unknown	VOG15533	Hypothetical protein		
Function unknown	VOG15534	Hypothetical protein		
Function unknown	VOG15535	Hypothetical protein		
Function unknown	VOG15536	Hypothetical protein		
Function unknown	VOG15537	Hypothetical protein		
Function unknown	VOG15538	Transcriptional repressor		
Function unknown	VOG15539	Hypothetical protein		
Function unknown	VOG15540	Hypothetical protein		
Function unknown	VOG15541	Hypothetical protein		
Function unknown	VOG15542	Putative membrane protein ORF10		VG10_ICHVA
Function unknown	VOG15543	Hypothetical protein		
Function unknown	VOG15544	Hypothetical protein		
Function unknown	VOG15545	Hypothetical protein		
Function unknown	VOG15546	Tail fiber protein		
Function unknown	VOG15547	Hypothetical protein		
Function unknown	VOG15548	Hypothetical protein		
Function unknown	VOG15549	Hypothetical protein		
Function unknown	VOG15550	Hypothetical protein		
Function unknown	VOG15551	Hypothetical protein		
Function unknown	VOG15552	Hypothetical protein		
Function unknown	VOG15553	Hypothetical protein		
Function unknown	VOG15554	Hypothetical protein		
Function unknown	VOG15555	Uncharacterized 9.0 kDa protein in uvsW-uvsY intergenic region		Y11B_BPT4
Function unknown	VOG15556	Hypothetical protein		
Function unknown	VOG15557	Hypothetical protein		
Function unknown	VOG15558	Assembly activating protein AAP		AAP_AAV2S
Function unknown	VOG15559	Hypothetical protein		
Function unknown	VOG15560	Hypothetical protein		
Function unknown	VOG15561	Hypothetical protein		
Function unknown	VOG15562	Hypothetical protein		
Function unknown	VOG15563	Hypothetical protein		
Function unknown	VOG15564	RdRp		
Function unknown	VOG15565	Hypothetical protein		
Virus protein with function beneficial for the virus | Virus structure	VOG15566	Adsorption protein P2		P2_BPPRD
Virus protein with function beneficial for the host	VOG15567	Acyl-coenzyme A oxidase, peroxisomal		ACOX2_CUCMA
Function unknown	VOG15568	Hypothetical protein		
Function unknown	VOG15569	Hypothetical protein		
Function unknown	VOG15570	Hypothetical protein		
Function unknown	VOG15571	GP25		
Function unknown	VOG15572	Hypothetical protein		
Function unknown	VOG15573	Hypothetical protein		
Function unknown	VOG15574	Hypothetical protein		
Function unknown	VOG15575	Hypothetical protein		
Function unknown	VOG15576	Hypothetical protein		
Function unknown	VOG15577	Hypothetical protein		
Function unknown	VOG15578	Envelope protein		
Function unknown	VOG15579	Hypothetical protein		
Function unknown	VOG15580	Hypothetical protein		
Function unknown	VOG15581	Uncharacterized protein ORF48a		Y048A_ABVP
Function unknown	VOG15582	Coil containing protein		
Function unknown	VOG15583	Hypothetical protein		
Function unknown	VOG15584	Hypothetical protein		
Function unknown	VOG15585	Hypothetical protein		
Function unknown	VOG15586	Hypothetical protein		
Function unknown	VOG15587	Hypothetical protein		
Function unknown	VOG15588	Hypothetical protein		
Function unknown	VOG15589	Hypothetical protein		
Function unknown	VOG15590	Hypothetical protein		
Function unknown	VOG15591	Hypothetical protein		
Virus replication	VOG15592	Ribonuclease H		RNH_BPT4
Function unknown	VOG15593	Hypothetical protein		
Function unknown	VOG15594	Hypothetical protein		
Function unknown	VOG15595	Hypothetical protein		
Virus protein with function beneficial for the virus | Virus structure	VOG15596	Capsid protein VP1/VP2		CAPSD_AEDEV
Function unknown	VOG15597	Hypothetical protein		
Function unknown	VOG15598	Tail protein		
Function unknown	VOG15599	Hypothetical protein		
Function unknown	VOG15600	Hypothetical protein		
Function unknown	VOG15601	Hypothetical protein		
Function unknown	VOG15602	Hypothetical protein		
Function unknown	VOG15603	Uncharacterized protein AMV185/G3L		V185_AMEPV
Function unknown	VOG15604	Uncharacterized protein ORF246		Y246_AFV2P
Function unknown	VOG15605	Hypothetical protein		
Function unknown	VOG15606	Hypothetical protein		
Function unknown	VOG15607	Hypothetical protein		
Function unknown	VOG15608	Hypothetical protein		
Function unknown	VOG15609	Hypothetical protein		
Function unknown	VOG15610	Hypothetical protein		
Function unknown	VOG15611	Hypothetical protein		
Function unknown	VOG15612	Hypothetical protein		
Function unknown	VOG15613	Hypothetical protein		
Function unknown	VOG15614	Hypothetical protein		
Function unknown	VOG15615	Hypothetical protein		
Function unknown	VOG15616	Hypothetical protein		
Function unknown	VOG15617	Hypothetical protein		
Function unknown	VOG15618	Hypothetical protein		
Function unknown	VOG15619	Hypothetical protein		
Function unknown	VOG15620	Hypothetical protein		
Function unknown	VOG15621	Hypothetical protein		
Function unknown	VOG15622	Hypothetical protein		
Function unknown	VOG15623	Hypothetical protein		
Function unknown	VOG15624	Hypothetical protein		
Function unknown	VOG15625	Hypothetical protein		
Function unknown	VOG15626	Hypothetical protein		
Function unknown	VOG15627	Hypothetical protein		
Function unknown	VOG15628	Hypothetical protein		
Function unknown	VOG15629	Hypothetical protein		
Function unknown	VOG15630	DNA binding protein		
Function unknown	VOG15631	Hypothetical protein		
Function unknown	VOG15632	DNA binding protein		
Function unknown	VOG15633	Hypothetical protein		
Function unknown	VOG15634	P		
Function unknown	VOG15635	Hypothetical protein		
Function unknown	VOG15636	Hypothetical protein		
Function unknown	VOG15637	Hypothetical protein		
Virus protein with function beneficial for the host	VOG15638	Acetolactate synthase large subunit		ILVB_BACSU
Function unknown	VOG15639	SPbeta prophage-derived uncharacterized protein YopR		YOPR_BACSU
Function unknown	VOG15640	AV3 protein		
Function unknown	VOG15641	Hypothetical protein		
Function unknown	VOG15642	Hypothetical protein		
Function unknown	VOG15643	Hypothetical protein		
Virus protein with function beneficial for the host	VOG15644	Uncharacterized protein B354L		VF354_ASFM2
Function unknown	VOG15645	Hypothetical protein		
Function unknown	VOG15646	Hypothetical protein		
Function unknown	VOG15647	Hypothetical protein		
Function unknown	VOG15648	Hypothetical protein		
Function unknown	VOG15649	HTH DNA binding protein		
Function unknown	VOG15650	Tail fiber protein		
Function unknown	VOG15651	Protein OPG197		PG197_VACCC
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG15652	Tail needle protein gp26		NEEDL_BPP22
Function unknown	VOG15653	Hypothetical protein		
Function unknown	VOG15654	Hypothetical protein		
Function unknown	VOG15655	Hypothetical protein		
Function unknown	VOG15656	Tail fiber protein		
Function unknown	VOG15657	Hypothetical protein		
Virus protein with function beneficial for the host	VOG15658	Glycine dehydrogenase (decarboxylating)		GCSP_PROM3
Function unknown	VOG15659	Hypothetical protein		
Function unknown	VOG15660	Protein E23B		
Function unknown	VOG15661	ORF129		
Function unknown	VOG15662	Hypothetical protein		
Function unknown	VOG15663	Hypothetical protein		
Function unknown	VOG15664	Hypothetical protein		
Function unknown	VOG15665	Uncharacterized protein ORF4		ORF4_SPV1R
Function unknown	VOG15666	Hypothetical protein		
Function unknown	VOG15667	Hypothetical protein		
Function unknown	VOG15668	Head-tail adaptor		
Function unknown	VOG15669	Hypothetical protein		
