L1	KO	Function	EC
Function unknown	VOG15065	REFSEQ hypothetical protein	
Function unknown	VOG15066	REFSEQ hypothetical protein	
Function unknown	VOG15067	REFSEQ hypothetical protein	
Function unknown	VOG15068	REFSEQ hypothetical protein	
Function unknown	VOG15069	REFSEQ hypothetical protein	
Function unknown	VOG15070	REFSEQ hypothetical protein	
Function unknown	VOG15071	REFSEQ hypothetical protein	
Function unknown	VOG15072	REFSEQ hypothetical protein	
Function unknown	VOG15073	REFSEQ hypothetical protein	
Function unknown	VOG15074	REFSEQ hypothetical protein	
Function unknown	VOG15075	REFSEQ hypothetical protein	
Function unknown	VOG15076	REFSEQ hypothetical protein	
Function unknown	VOG15077	REFSEQ hypothetical protein	
Function unknown	VOG15078	REFSEQ hypothetical protein	
Function unknown	VOG15079	REFSEQ hypothetical protein	
Function unknown	VOG15080	REFSEQ hypothetical protein	
Function unknown	VOG15081	REFSEQ hypothetical protein	
Function unknown	VOG15082	REFSEQ hypothetical protein	
Function unknown	VOG15083	REFSEQ hypothetical protein	
Function unknown	VOG15084	REFSEQ hypothetical protein	
Function unknown	VOG15085	REFSEQ hypothetical protein	
Function unknown	VOG15086	REFSEQ hypothetical protein	
Function unknown	VOG15087	REFSEQ hypothetical protein	
Function unknown	VOG15088	REFSEQ hypothetical protein	
Function unknown	VOG15089	REFSEQ hypothetical protein	
Function unknown	VOG15090	REFSEQ hypothetical protein	
Function unknown	VOG15091	REFSEQ hypothetical protein	
Function unknown	VOG15092	REFSEQ hypothetical protein	
Function unknown	VOG15093	REFSEQ hypothetical protein	
Function unknown	VOG15094	REFSEQ hypothetical protein	
Function unknown	VOG15095	REFSEQ hypothetical protein	
Function unknown	VOG15096	REFSEQ hypothetical protein	
Function unknown	VOG15097	REFSEQ hypothetical protein	
Function unknown	VOG15098	REFSEQ hypothetical protein	
Function unknown	VOG15099	REFSEQ toxin	
Function unknown	VOG15100	REFSEQ hypothetical protein	
Function unknown	VOG15101	REFSEQ hypothetical protein	
Function unknown	VOG15102	REFSEQ hypothetical protein	
Function unknown	VOG15103	REFSEQ hypothetical protein	
Function unknown	VOG15104	REFSEQ hypothetical protein	
Function unknown	VOG15105	REFSEQ hypothetical protein	
Function unknown	VOG15106	REFSEQ hypothetical protein	
Function unknown	VOG15107	REFSEQ hypothetical protein	
Function unknown	VOG15108	REFSEQ hypothetical protein	
Function unknown	VOG15109	REFSEQ hypothetical protein	
Function unknown	VOG15110	REFSEQ hypothetical protein	
Function unknown	VOG15111	REFSEQ hypothetical protein	
Function unknown	VOG15112	REFSEQ hypothetical protein	
Function unknown	VOG15113	REFSEQ hypothetical protein	
Function unknown	VOG15114	REFSEQ hypothetical protein	
Function unknown	VOG15115	REFSEQ hypothetical protein	
Function unknown	VOG15116	REFSEQ hypothetical protein	
Function unknown	VOG15117	REFSEQ hypothetical protein	
Function unknown	VOG15118	REFSEQ hypothetical protein	
Function unknown	VOG15119	REFSEQ hypothetical protein	
Function unknown	VOG15120	REFSEQ hypothetical protein	
Function unknown	VOG15121	REFSEQ hypothetical protein	
Function unknown	VOG15122	REFSEQ hypothetical protein	
Function unknown	VOG15123	REFSEQ hypothetical protein	
Function unknown	VOG15124	REFSEQ hypothetical protein	
Function unknown	VOG15125	REFSEQ hypothetical protein	
Function unknown	VOG15126	REFSEQ hypothetical protein	
Function unknown	VOG15127	REFSEQ hypothetical protein	
Function unknown	VOG15128	REFSEQ hypothetical protein	
Function unknown	VOG15129	REFSEQ hypothetical protein	
Function unknown	VOG15130	REFSEQ hypothetical protein	
Function unknown	VOG15131	REFSEQ hypothetical protein	
Function unknown	VOG15132	REFSEQ hypothetical protein	
Function unknown	VOG15133	REFSEQ virion structural protein	
Function unknown	VOG15134	REFSEQ hypothetical protein	
Function unknown	VOG15135	REFSEQ hypothetical protein	
Function unknown	VOG15136	REFSEQ hypothetical protein	
Function unknown	VOG15137	REFSEQ hypothetical protein	
Function unknown	VOG15138	sp|O31947|YONK_BACSU SPbeta prophage-derived uncharacterized protein YonK	
Function unknown	VOG15139	REFSEQ hypothetical protein	
Function unknown	VOG15140	REFSEQ hypothetical protein	
Function unknown	VOG15141	REFSEQ hypothetical protein	
Function unknown	VOG15142	REFSEQ hypothetical protein	
Function unknown	VOG15143	REFSEQ hypothetical protein	
Function unknown	VOG15144	REFSEQ hypothetical protein	
Function unknown	VOG15145	REFSEQ hypothetical protein	
Function unknown	VOG15146	REFSEQ hypothetical protein	
Function unknown	VOG15147	REFSEQ hypothetical protein	
Function unknown	VOG15148	REFSEQ hypothetical protein	
Function unknown	VOG15149	REFSEQ hypothetical protein	
Function unknown	VOG15150	REFSEQ hypothetical protein	
Function unknown	VOG15151	REFSEQ hypothetical protein	
Function unknown	VOG15152	REFSEQ hypothetical protein	
Function unknown	VOG15153	REFSEQ hypothetical protein	
Function unknown	VOG15154	REFSEQ hypothetical protein	
Function unknown	VOG15155	REFSEQ hypothetical protein	
Function unknown	VOG15156	REFSEQ DUF2482 family protein	
Virus protein with function beneficial for the host	VOG15157	sp|A6QIG7|CHIPS_STAAE Chemotaxis inhibitory protein	
Function unknown	VOG15158	sp|A6TCM7|SSRP_KLEP7 SsrA-binding protein	
Function unknown	VOG15159	REFSEQ hypothetical protein	
Function unknown	VOG15160	REFSEQ hypothetical protein	
Function unknown	VOG15161	REFSEQ hypothetical protein	
Function unknown	VOG15162	REFSEQ hypothetical protein	
Function unknown	VOG15163	REFSEQ hypothetical protein	
Function unknown	VOG15164	REFSEQ hypothetical protein	
Function unknown	VOG15165	REFSEQ hypothetical protein	
Function unknown	VOG15166	REFSEQ hypothetical protein	
Function unknown	VOG15167	REFSEQ hypothetical protein	
Function unknown	VOG15168	REFSEQ hypothetical protein	
Function unknown	VOG15169	REFSEQ host nuclease inhibitor	
Function unknown	VOG15170	REFSEQ hypothetical protein	
Function unknown	VOG15171	REFSEQ hypothetical protein	
Function unknown	VOG15172	REFSEQ hypothetical protein	
Function unknown	VOG15173	REFSEQ capsid protein	
Function unknown	VOG15174	REFSEQ hypothetical protein	
Function unknown	VOG15175	REFSEQ hypothetical protein	
Function unknown	VOG15176	REFSEQ E2	
Function unknown	VOG15177	REFSEQ hypothetical protein	
Function unknown	VOG15178	REFSEQ protein p7	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG15179	sp|O92972|POLG_HCVJ4 Genome polyprotein	
Function unknown	VOG15180	REFSEQ hypothetical protein	
Function unknown	VOG15181	REFSEQ hypothetical protein	
Function unknown	VOG15182	REFSEQ DUF4468 domain-containing protein	
Function unknown	VOG15183	REFSEQ hypothetical protein	
Function unknown	VOG15184	REFSEQ hypothetical protein	
Function unknown	VOG15185	REFSEQ hypothetical protein	
Function unknown	VOG15186	REFSEQ hypothetical protein	
Function unknown	VOG15187	REFSEQ hypothetical protein	
Function unknown	VOG15188	REFSEQ hypothetical protein	
Function unknown	VOG15189	REFSEQ hypothetical protein	
Function unknown	VOG15190	REFSEQ SymE family type I addiction module toxin	
Function unknown	VOG15191	REFSEQ hypothetical protein	
Function unknown	VOG15192	REFSEQ hypothetical protein	
Function unknown	VOG15193	REFSEQ hypothetical protein	
Function unknown	VOG15194	REFSEQ hypothetical protein	
Function unknown	VOG15195	REFSEQ hypothetical protein	
Function unknown	VOG15196	REFSEQ hypothetical protein	
Function unknown	VOG15197	REFSEQ hypothetical protein	
Function unknown	VOG15198	REFSEQ hypothetical protein	
Function unknown	VOG15199	REFSEQ hypothetical protein	
Function unknown	VOG15200	REFSEQ hypothetical protein	
Function unknown	VOG15201	REFSEQ hypothetical protein	
Function unknown	VOG15202	REFSEQ hypothetical protein	
Function unknown	VOG15203	REFSEQ hypothetical protein	
Function unknown	VOG15204	REFSEQ hypothetical protein	
Function unknown	VOG15205	REFSEQ hypothetical protein	
Function unknown	VOG15206	REFSEQ hypothetical protein	
Function unknown	VOG15207	REFSEQ hypothetical protein	
Function unknown	VOG15208	REFSEQ hypothetical protein	
Function unknown	VOG15209	REFSEQ hypothetical protein	
Function unknown	VOG15210	REFSEQ hypothetical protein	
Function unknown	VOG15211	REFSEQ hypothetical protein	
Function unknown	VOG15212	REFSEQ transcriptional regulator	
Function unknown	VOG15213	REFSEQ hypothetical protein	
Function unknown	VOG15214	REFSEQ hypothetical protein	
Function unknown	VOG15215	REFSEQ hypothetical protein	
Function unknown	VOG15216	REFSEQ hypothetical protein	
Function unknown	VOG15217	REFSEQ hypothetical protein	
Function unknown	VOG15218	REFSEQ terminase small subunit	
Function unknown	VOG15219	REFSEQ hypothetical protein	
Function unknown	VOG15220	REFSEQ hypothetical protein	
Function unknown	VOG15221	REFSEQ hypothetical protein	
Function unknown	VOG15222	REFSEQ Lsr2-like DNA bridging protein	
Function unknown	VOG15223	REFSEQ gp107	
Function unknown	VOG15224	REFSEQ hypothetical protein	
Function unknown	VOG15225	REFSEQ hypothetical protein	
Function unknown	VOG15226	REFSEQ hypothetical protein	
Function unknown	VOG15227	REFSEQ hypothetical protein	
Function unknown	VOG15228	REFSEQ hypothetical protein	
Function unknown	VOG15229	REFSEQ hypothetical protein	
Function unknown	VOG15230	REFSEQ hypothetical protein	
Function unknown	VOG15231	REFSEQ hypothetical protein	
Function unknown	VOG15232	REFSEQ hypothetical protein	
Function unknown	VOG15233	REFSEQ hypothetical protein	
Function unknown	VOG15234	REFSEQ hypothetical protein	
Function unknown	VOG15235	REFSEQ hypothetical protein	
Function unknown	VOG15236	REFSEQ hypothetical protein	
Function unknown	VOG15237	REFSEQ hypothetical protein	
Function unknown	VOG15238	REFSEQ hypothetical protein	
Function unknown	VOG15239	REFSEQ hypothetical protein	
Function unknown	VOG15240	REFSEQ hypothetical protein	
Function unknown	VOG15241	REFSEQ hypothetical protein	
Function unknown	VOG15242	REFSEQ hypothetical protein	
Function unknown	VOG15243	REFSEQ hypothetical protein	
Function unknown	VOG15244	REFSEQ hypothetical protein	
Function unknown	VOG15245	REFSEQ hypothetical protein	
Function unknown	VOG15246	REFSEQ hypothetical protein	
Function unknown	VOG15247	REFSEQ hypothetical protein	
Function unknown	VOG15248	REFSEQ hypothetical protein	
Function unknown	VOG15249	REFSEQ hypothetical protein	
Function unknown	VOG15250	REFSEQ hypothetical protein	
Function unknown	VOG15251	REFSEQ hypothetical protein	
Function unknown	VOG15252	REFSEQ hypothetical protein	
Function unknown	VOG15253	REFSEQ hypothetical protein	
Function unknown	VOG15254	REFSEQ hypothetical protein	
Function unknown	VOG15255	REFSEQ hypothetical protein	
Function unknown	VOG15256	REFSEQ hypothetical protein	
Function unknown	VOG15257	REFSEQ hypothetical protein	
Function unknown	VOG15258	REFSEQ hypothetical protein	
Function unknown	VOG15259	REFSEQ hypothetical protein	
Function unknown	VOG15260	REFSEQ hypothetical protein	
Function unknown	VOG15261	REFSEQ hypothetical protein	
Function unknown	VOG15262	REFSEQ hypothetical protein	
Function unknown	VOG15263	REFSEQ hypothetical protein	
Function unknown	VOG15264	REFSEQ hypothetical protein	
Function unknown	VOG15265	REFSEQ hypothetical protein	
Function unknown	VOG15266	REFSEQ hypothetical protein	
Function unknown	VOG15267	REFSEQ hypothetical protein	
Function unknown	VOG15268	REFSEQ hypothetical protein	
Function unknown	VOG15269	REFSEQ hypothetical protein	
Function unknown	VOG15270	REFSEQ hypothetical protein	
Function unknown	VOG15271	REFSEQ hypothetical protein	
Function unknown	VOG15272	REFSEQ ribonucleotide reductase	
Function unknown	VOG15273	REFSEQ hypothetical protein	
Function unknown	VOG15274	REFSEQ hypothetical protein	
Function unknown	VOG15275	REFSEQ Rz-like spanin	
Function unknown	VOG15276	REFSEQ hypothetical protein	
Function unknown	VOG15277	REFSEQ hypothetical protein	
Function unknown	VOG15278	REFSEQ hypothetical protein	
Function unknown	VOG15279	REFSEQ hypothetical protein	
Function unknown	VOG15280	REFSEQ hypothetical protein	
Function unknown	VOG15281	REFSEQ hypothetical protein	
Function unknown	VOG15282	REFSEQ hypothetical protein	
Function unknown	VOG15283	REFSEQ hypothetical protein	
Function unknown	VOG15284	REFSEQ hypothetical protein	
Function unknown	VOG15285	REFSEQ hypothetical protein	
Function unknown	VOG15286	REFSEQ hypothetical protein	
Function unknown	VOG15287	REFSEQ hypothetical protein	
Function unknown	VOG15288	REFSEQ hypothetical protein	
Function unknown	VOG15289	REFSEQ hypothetical protein	
Function unknown	VOG15290	REFSEQ hypothetical protein	
Function unknown	VOG15291	REFSEQ hypothetical protein	
Function unknown	VOG15292	REFSEQ hypothetical protein	
Function unknown	VOG15293	REFSEQ hypothetical protein	
Function unknown	VOG15294	REFSEQ hypothetical protein	
Function unknown	VOG15295	REFSEQ hypothetical protein	
Function unknown	VOG15296	REFSEQ hypothetical protein	
Function unknown	VOG15297	REFSEQ hypothetical protein	
Function unknown	VOG15298	REFSEQ hypothetical protein	
Function unknown	VOG15299	REFSEQ hypothetical protein	
Function unknown	VOG15300	REFSEQ hypothetical protein	
Function unknown	VOG15301	REFSEQ hypothetical protein	
Function unknown	VOG15302	REFSEQ hypothetical protein	
Function unknown	VOG15303	REFSEQ hypothetical protein	
Function unknown	VOG15304	REFSEQ hypothetical protein	
Function unknown	VOG15305	REFSEQ hypothetical protein	
Function unknown	VOG15306	REFSEQ hypothetical protein	
Function unknown	VOG15307	REFSEQ hypothetical protein	
Function unknown	VOG15308	REFSEQ hypothetical protein	
Function unknown	VOG15309	REFSEQ hypothetical protein	
Function unknown	VOG15310	REFSEQ hypothetical protein	
Function unknown	VOG15311	REFSEQ hypothetical protein	
Function unknown	VOG15312	REFSEQ hypothetical protein	
Function unknown	VOG15313	REFSEQ hypothetical protein	
Function unknown	VOG15314	REFSEQ hypothetical protein	
Function unknown	VOG15315	REFSEQ hypothetical protein	
Function unknown	VOG15316	REFSEQ hypothetical protein	
Function unknown	VOG15317	REFSEQ hypothetical protein	
Function unknown	VOG15318	REFSEQ hypothetical protein	
Function unknown	VOG15319	REFSEQ hypothetical protein	
Function unknown	VOG15320	REFSEQ hypothetical protein	
Function unknown	VOG15321	REFSEQ hypothetical protein	
Function unknown	VOG15322	REFSEQ hypothetical protein	
Function unknown	VOG15323	REFSEQ hypothetical protein	
Function unknown	VOG15324	REFSEQ hypothetical protein	
Function unknown	VOG15325	REFSEQ hypothetical protein	
Function unknown	VOG15326	REFSEQ hypothetical protein	
Function unknown	VOG15327	REFSEQ hypothetical protein	
Function unknown	VOG15328	REFSEQ hypothetical protein	
Function unknown	VOG15329	REFSEQ hypothetical protein	
Function unknown	VOG15330	REFSEQ hypothetical protein	
Function unknown	VOG15331	REFSEQ hypothetical protein	
Function unknown	VOG15332	REFSEQ hypothetical protein	
Function unknown	VOG15333	REFSEQ hypothetical protein	
Function unknown	VOG15334	REFSEQ hypothetical protein	
Function unknown	VOG15335	REFSEQ hypothetical protein	
Function unknown	VOG15336	REFSEQ hypothetical protein	
Function unknown	VOG15337	REFSEQ hypothetical protein	
Function unknown	VOG15338	REFSEQ hypothetical protein	
Function unknown	VOG15339	REFSEQ hypothetical protein	
Function unknown	VOG15340	REFSEQ hypothetical protein	
Function unknown	VOG15341	REFSEQ hypothetical protein	
Function unknown	VOG15342	REFSEQ hypothetical protein	
Function unknown	VOG15343	REFSEQ hypothetical protein	
Function unknown	VOG15344	REFSEQ hypothetical protein	
Function unknown	VOG15345	REFSEQ hypothetical protein	
Function unknown	VOG15346	REFSEQ hypothetical protein	
Function unknown	VOG15347	REFSEQ hypothetical protein	
Function unknown	VOG15348	REFSEQ hypothetical protein	
Function unknown	VOG15349	REFSEQ hypothetical protein	
Function unknown	VOG15350	REFSEQ hypothetical protein	
Function unknown	VOG15351	REFSEQ hypothetical protein	
Function unknown	VOG15352	REFSEQ hypothetical protein	
Function unknown	VOG15353	REFSEQ hypothetical protein	
Function unknown	VOG15354	REFSEQ hypothetical protein	
Function unknown	VOG15355	REFSEQ hypothetical protein	
Function unknown	VOG15356	REFSEQ hypothetical protein	
Function unknown	VOG15357	REFSEQ hypothetical protein	
Function unknown	VOG15358	REFSEQ hypothetical protein	
Function unknown	VOG15359	REFSEQ hypothetical protein	
Function unknown	VOG15360	REFSEQ hypothetical protein	
Function unknown	VOG15361	REFSEQ hypothetical protein	
Function unknown	VOG15362	REFSEQ hypothetical protein	
Function unknown	VOG15363	REFSEQ hypothetical protein	
Function unknown	VOG15364	REFSEQ hypothetical protein	
Function unknown	VOG15365	REFSEQ hypothetical protein	
